"","x"
"1",1.053
"2",1.078
"3",1.005
"4",0.942
"5",0.9
"6",0.949
"7",0.88
"8",1.02
"9",0.956
"10",0.888
"11",0.92
"12",0.92
"13",0.975
"14",0.962
"15",0.931
"16",0.939
"17",0.852
"18",0.838
"19",0.868
"20",0.893
"21",0.92
"22",0.923
"23",0.902
"24",0.959
"25",1.011
"26",0.943
"27",0.886
"28",1.028
"29",0.881
"30",0.92
"31",0.862
"32",0.929
"33",0.916
"34",0.916
"35",0.935
"36",0.925
"37",0.973
"38",0.996
"39",1.003
"40",1.047
"41",0.997
"42",0.975
"43",0.99
"44",1.053
"45",1.055
"46",1.039
"47",1.08
"48",1.176
"49",1.175
"50",1.189
"51",1.209
"52",1.131
"53",1.009
"54",1.199
"55",1.15
"56",1.277
"57",1.257
"58",1.33
"59",1.448
"60",1.559
"61",1.573
"62",1.583
"63",1.625
"64",1.562
"65",1.372
"66",1.311
"67",1.253
"68",1.277
"69",1.145
"70",1.089
"71",1.085
"72",1.199
"73",1.211
"74",1.284
"75",1.132
"76",1.164
"77",1.185
"78",1.139
"79",1.165
"80",1.166
"81",1.279
"82",1.264
"83",1.279
"84",1.35
"85",1.449
"86",1.328
"87",1.302
"88",1.283
"89",1.206
"90",1.242
"91",1.213
"92",1.244
"93",1.254
"94",1.257
"95",1.354
"96",1.543
"97",1.549
"98",1.746
"99",1.634
"100",1.616
"101",1.504
"102",1.373
"103",1.502
"104",1.634
"105",1.825
"106",1.771
"107",1.862
"108",2.099
"109",2.175
"110",2.168
"111",2.203
"112",2.069
"113",1.93
"114",1.92
"115",2.011
"116",1.854
"117",1.978
"118",1.858
"119",1.838
"120",1.834
"121",1.85
"122",1.795
"123",1.693
"124",1.774
"125",1.501
"126",1.529
"127",1.495
"128",1.632
"129",1.627
"130",1.595
"131",1.705
"132",1.772
"133",1.789
"134",1.872
"135",1.822
"136",1.779
"137",1.523
"138",1.494
"139",1.441
"140",1.519
"141",1.753
"142",1.456
"143",1.675
"144",1.793
"145",1.806
"146",1.708
"147",1.732
"148",1.727
"149",1.692
"150",1.683
"151",1.647
"152",1.711
"153",1.947
"154",1.871
"155",1.836
"156",1.874
"157",1.939
"158",1.798
"159",1.774
"160",1.829
"161",1.691
"162",1.67
"163",1.648
"164",1.884
"165",1.889
"166",1.96
"167",1.963
"168",2.007
"169",1.933
"170",1.965
"171",1.925
"172",1.918
"173",1.87
"174",1.859
"175",1.833
"176",1.838
"177",1.897
"178",1.925
"179",1.925
"180",2.026
