time,X
507.3476406612,526887.4375
507.3680748354,526981.5
507.3885089094,526934.625
507.4089431835,526970.375
507.4293773574,526857.25
507.4498114312,526890.3125
507.470245705,526902.1875
507.4906798787,526919.625
507.5111140523,526920.1875
507.5315482259,526902.5
507.5519823992,526938.1875
507.5724166727,526863.625
507.5928508459,526788.875
507.6132849191,526787.8125
507.6337191923,526778.3125
507.6541533652,526854.9375
507.6745874382,526918.6875
507.6950217111,526887.75
507.7154558839,526901.1875
507.7358899566,526864.4375
507.7563242293,526861.125
507.7767584018,526919.5
507.7971924742,526815.5
507.8176267467,526919.75
507.8380609189,526842.8125
507.8584949911,526885.625
507.8789292633,526847.5625
507.8993633354,526836.5
507.9197976073,526856.0625
507.9402317793,526908.9375
507.9606658511,526873.875
507.9811001228,526909.9375
508.0015342944,526873.5625
508.021968466,526877.875
508.0424026375,526879.0625
508.0628368089,526822.125
508.0832709802,526868.25
508.1037051515,526835
508.1241393226,526922.625
508.1445734938,526848
508.1650077647,526901.0625
508.1854418356,526824.75
508.2058760065,526873.875
508.2263102771,526881.6875
508.2467443478,526895.8125
508.2671785183,526872.25
508.2876127889,526858.4375
508.3080468593,526851.1875
508.3284811296,526847.3125
508.3489152999,526865.3125
508.3693493701,526836.5625
508.38978364,526875.0625
508.4102178101,526843
508.43065198,526816.5
508.4510861498,526730.9375
508.4715203196,526788.5
508.4919544892,526827.625
508.5123886588,526908
508.5328228283,526842.1875
508.5532569977,526866.125
508.573691167,526882.625
508.5941253362,526836.3125
508.6145594054,526840.875
508.6349936744,526796.375
508.6554278435,526853.875
508.6758621124,526776.5
508.6962961812,526880.8125
508.7167303499,526796.9375
508.7371646186,526833.8125
508.7575986871,526817.4375
508.7780328556,526881.3125
508.7984671239,526787.0625
508.8189011923,526796.1875
508.8393353605,526805.5625
508.8597696286,526807.4375
508.8802036967,526837.5
508.9006378647,526773.5
508.9210721326,526836.6875
508.9415062003,526743.5
508.9619403681,526835.1875
508.9823746357,526741.3125
509.0028088032,526811.375
509.0232429707,526804.25
509.0436771381,526790.375
509.0641113054,526745.0625
509.0845454725,526803.25
509.1049796397,526784.25
509.1254138067,526820.6875
509.1458480736,526779.4375
509.1662821405,526753.8125
509.1867163072,526723.375
509.207150574,526794.5625
509.2275846406,526762.4375
509.2480188071,526723.3125
509.2684529735,526675.625
509.2888871399,526616.8125
509.3093213061,526658.4375
509.3297554724,526672.75
509.3501896384,526717.5
509.3706239044,526741.9375
509.3910579703,526773.25
509.4114921362,526736.625
509.4319264018,526677.8125
509.4523604675,526738.4375
509.4727946332,526708.375
509.4932288986,526747.1875
509.513663064,526693.1875
509.5340971293,526719.75
509.5545313945,526661.75
509.5749655596,526703.3125
509.5953996247,526626.1875
509.6158338896,526715.6875
509.6362680545,526644.1875
509.6567021193,526724.875
509.677136384,526627.8125
509.6975705486,526685.375
509.7180048132,526661.9375
509.7384388776,526664.375
509.7588730419,526636.75
509.7793073062,526678.3125
509.7997413704,526609.8125
509.8406097984,526646.9375
509.8610438623,526631.3125
509.8814780261,526666.1875
509.9019122899,526653.8125
509.9223463535,526646.3125
509.9427805171,526576.4375
509.9632146806,526586.4375
509.983648844,526578.875
510.0040830073,526579.875
510.0245172705,526573.0625
510.0449513336,526611.625
510.0653855966,526441.6875
510.0858197596,526530.1875
510.1062538225,526397.25
510.1266880852,526490.625
510.1471222478,526387.75
510.1675563105,526529.125
510.1879905729,526502
510.2084247354,526516.5
510.2288587977,526467
510.2492930599,526494.3125
510.269727222,526457.25
510.2901612841,526428.125
510.310595546,526490.9375
510.331029708,526476
510.3514638698,526511.125
510.3718980315,526471.875
510.3923321931,526445.8125
510.4127664545,526452.25
510.433200516,526495.4375
510.4536346774,526409.9375
510.4740689386,526466
510.4945030997,526396.625
510.5149371608,526492.375
510.5353714217,526407.0625
510.5558055827,526471.625
510.5762396435,526429.9375
510.5966739042,526479.6875
510.6171080648,526416.375
510.6375421254,526459.125
510.6579763858,526409.25
510.6784104461,526481.125
510.6988447064,526409.4375
510.7192788666,526382.625
510.7397129267,526436.0625
510.7601471866,526384.6875
510.7805813466,526411.625
510.8010154063,526366.8125
510.821449666,526428.25
510.8418838258,526382.1875
510.8623179852,526415.9375
510.8827521447,526393.8125
510.903186304,526373.375
510.9236204634,526311.3125
510.9440546225,526334.125
510.9644887815,526281.0625
510.9849229406,526323.5
511.0053570995,526319.375
511.0257912583,526412.3125
511.0462255169,526365.875
511.0666596756,526381.6875
511.0870937342,526335.625
511.1075279926,526364.125
511.127962151,526387.125
511.1483962093,526377.0625
511.1688304674,526347.75
511.1892646255,526373.125
511.2096986835,526353.8125
511.2301329413,526387.9375
511.2505670992,526365.25
511.2710011569,526348
511.2914354146,526396.3125
511.3118695721,526341.6875
511.3323037295,526397.6875
511.3527378869,526319.6875
511.373171944,526334.5625
511.3936062012,526348.6875
511.4140403584,526350
511.4344745153,526293.125
511.4549086721,526368.1875
511.4753428289,526302
511.4957769856,526365.5625
511.5162112423,526288.5625
511.5366452988,526369.125
511.5570794552,526302.3125
511.5775137115,526357.9375
511.5979477677,526277.125
511.6183819239,526343.5625
511.6388161799,526263.9375
511.6592502359,526350.125
511.6796843918,526317.9375
511.7001186476,526288.875
511.7205527032,526298.75
511.7409869588,526278.1875
511.7614211143,526220.375
511.7818551697,526177.5625
511.802289425,526187.6875
511.8227235802,526196.9375
511.8431576353,526297.8125
511.8635918903,526206.8125
511.8840260453,526279
511.9044602001,526209.3125
511.9248943549,526220.4375
511.9453285095,526173.125
511.9657626641,526243.75
511.9861969185,526222.6875
512.0066309729,526277.5625
512.0270651272,526186.875
512.0474992813,526293.3125
512.0679334354,526249.75
512.0883676895,526243.625
512.1088017434,526173.0625
512.1292358972,526232.0625
512.1496701508,526107.375
512.1701042044,526185.4375
512.1905383579,526151.8125
512.2109726114,526215.125
512.2314066647,526203.375
512.2518408179,526208.8125
512.2722750711,526220.125
512.2927091241,526221.25
512.313143277,526205.375
512.3335775299,526159
512.3540116826,526158.125
512.3744457354,526143.0625
512.3948799879,526153.8125
512.4153141404,526116.625
512.4357482928,526133.75
512.4561824451,526140.875
512.4766165972,526156.75
512.4970508494,526104.5
512.5174849013,526116.0625
512.5379190532,526080.125
512.558353305,526090.75
512.5787873567,526057.75
512.5992215084,526087.75
512.6196557599,525919.625
512.6400898113,525974.5625
512.6605239627,525957.375
512.6809582139,526085.1875
512.701392265,526010.75
512.7218264161,526038.1875
512.742260567,525978.0625
512.7626947179,526051.1875
512.7831289687,526023.8125
512.8239971698,525983.875
512.8444314204,526019.6875
512.8648654706,525957
512.8852996209,526005.5
512.9057338711,525968.6875
512.9261680212,526011.25
512.9466020712,525943.4375
512.9670363211,526008.9375
512.9874704709,525950.5625
513.0079045205,525987.0625
513.0283387701,525938.5625
513.0487729197,526002.375
513.0692069691,525914.125
513.0896412183,525942.4375
513.1100753675,525912.5625
513.1305096167,525917.9375
513.1509436657,525839.5625
513.1713778146,525904.0625
513.1918120634,525865.375
513.2122461122,525857.25
513.2326802607,525863.75
513.2531145093,525871.8125
513.2735485577,525831.6875
513.293982706,525827
513.3144169542,525840.0625
513.3348511024,525821.1875
513.3552851505,525821.875
513.3757192983,525787.125
513.3961535462,525848
513.4165875939,525808.25
513.4370218417,525741.625
513.4574558892,525706.125
513.4778901365,525721.625
513.4983242839,525689.25
513.5187583312,525770.625
513.5391925783,525755.75
513.5596267254,525818.0625
513.5800607723,525772.9375
513.6004950192,525786.0625
513.620929166,525763.5625
513.6413632126,525784.8125
513.6617974592,525736.1875
513.6822316056,525767.9375
513.7026656521,525666.8125
513.7230998983,525783.8125
513.7435340445,525727.0625
513.7639681905,525769.6875
513.7844023365,525748.1875
513.8048364824,525779.1875
513.8252707281,525682.0625
513.8457047739,525710.6875
513.8661389194,525695.5625
513.8865731649,525712.375
513.9070073102,525660.4375
513.9274413555,525751.6875
513.9478756007,525603.4375
513.9683097457,525671.9375
513.9887437908,525667
514.0091780356,525766.1875
514.0296121804,525672
514.050046225,525707.25
514.0704804696,525650.5
514.0909146141,525632.125
514.1113486584,525675.25
514.1317829028,525693.125
514.1522169469,525622.375
514.1726511911,525660.125
514.1930853349,525615.625
514.2135193788,525662.625
514.2339536226,525551.25
514.2543877664,525652.9375
514.2748219099,525556.375
514.2952560534,525538
514.3156901968,525437.4375
514.33612434,525495.0625
514.3565584832,525600.4375
514.3769926262,525581.1875
514.3974267692,525522
514.4178610122,525600.75
514.4382950549,525542.5
514.4587291975,525572.25
514.4791634401,525542.375
514.4995974826,525556.625
514.520031725,525521.5625
514.5404658673,525534.8125
514.5608999094,525537.5
514.5813341514,525533.5
514.6017682935,525503.8125
514.6222023353,525540.6875
514.6426365771,525492.6875
514.6630707186,525523.8125
514.6835047602,525447.375
514.7039390016,525508.5
514.7243731431,525417.1875
514.7448072843,525504.1875
514.7652414254,525488.1875
514.7856755665,525505.375
514.8061097075,525457.125
514.8265438482,525508.625
514.846977989,525461.5
514.8674121296,525493
514.8878462702,525470
514.9082804106,525491.8125
514.9287145509,525447.9375
514.9491486912,525477.625
514.9695828313,525435.3125
514.9900170713,525481.125
515.0104511112,525423.9375
515.0308852511,525422.8125
515.0513194908,525405.25
515.0717535303,525408.75
515.0921876699,525406.0625
515.1126219093,525340.5625
515.1330559486,525304.625
515.1534900879,525305
515.173924327,525280.1875
515.194358366,525431.125
515.2147926049,525354.875
515.2352267437,525388.1875
515.2556608823,525376
515.276095021,525360.5
515.2965291594,525331.5
515.3169632978,525371.0625
515.337397436,525305.875
515.3578315742,525347.3125
515.3782657123,525349.3125
515.3986999502,525354.0625
515.419133988,525336.25
515.4395681259,525342.9375
515.4600023635,525284.1875
515.4804364011,525352.25
515.5008705385,525304.5
515.5213046758,525321.5
515.5417388131,525217.25
515.5621730502,525293.0625
515.5826070873,525194.5625
515.6030412242,525320.625
515.623475461,525207.5
515.6439094977,525264.25
515.6643436343,525233.75
515.6847778709,525315.3125
515.7052119073,525232.375
515.7256460435,525249.125
515.7460802797,525211.5
515.7665143158,525292.4375
515.8073826877,525279.8125
515.8278168235,525250.875
515.8482508591,525230.75
515.8686850948,525158.0625
515.8891192302,525202.1875
515.9095534656,525175.125
515.9299875008,525147.1875
515.950421636,525102.25
515.970855871,525116.0625
515.991289906,525034.6875
516.0117240408,525092.0625
516.0321582755,525076.5625
516.0525923101,525121.5625
516.0730264446,525064.3125
516.093460679,525165.5625
516.1138947133,525077.5625
516.1343288476,525177.1875
516.1547629817,525055.3125
516.1751971157,525090
516.1956312495,525045.25
516.2160653833,525069.625
516.236499517,525058.3125
516.2569337505,525078.8125
516.277367884,525081.375
516.2978019173,525092.1875
516.3182361506,525070.75
516.3386702837,525105.75
516.3591043168,525030.3125
516.3795385497,525035.1875
516.3999726825,525019.8125
516.4204067152,525086.75
516.4408409478,525021.4375
516.4612750803,525043.625
516.4817091127,524978.6875
516.5021433451,525006.0625
516.5225774772,525051.875
516.5430115092,524977.9375
516.5634457412,525003.1875
516.5838798731,525021.125
516.6043141048,524963.3125
516.6247481365,525015.5
516.645182268,524973.25
